time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/learning_rate,train/loss,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/approx_kl,train/value_loss,train/clip_fraction,train/clip_range
227328,830.94,5122,44,116.40445297999999,111,0.001498919063649211,0.11837517470121384,-0.803293850076826,-0.008814103601157273,2090,0.9986137747764587,0.020256648,0.4354546098528724,0.07406455592105263,0.25
229376,839.43,5124,44,118.40064336999998,112,0.001498919063649211,0.26168617606163025,-0.7715911567211151,-0.01281020361133606,2109,0.9953424334526062,0.017662201,0.6793703485868479,0.1088610197368421,0.25
231424,839.43,5127,45,119.16455970999999,113,0.001498919063649211,0.509781002998352,-0.7029554173350334,-0.003766692816402371,2128,0.9832668900489807,0.0042105024,2.3083775682668937,0.03446237664473684,0.25
233472,847.47,5130,45,120.51760117000002,114,0.001498919063649211,0.1341267079114914,-0.7785246552605378,-0.006562033246920787,2147,0.9965677857398987,0.015192328,0.5553258462367874,0.06211451480263158,0.25
235520,848.29,5134,45,120.0279325,115,0.001498919063649211,0.11141414940357208,-0.6660785988757485,-0.010281405341198766,2166,0.9961850047111511,0.04443945,0.5884134957664892,0.22962068256578946,0.25
237568,833.45,5137,46,119.64561277000001,116,0.001498919063649211,0.8871443271636963,-0.7101096636370609,-0.005916390905009681,2185,0.8997783660888672,0.008852639,12.519342867167373,0.09028063322368421,0.25
239616,841.29,5140,46,121.06660322999998,117,0.001498919063649211,6.693383693695068,-0.785065651724213,-0.005687192024197429,2204,0.8850139379501343,0.015034317,23.78673306107521,0.0747327302631579,0.25
241664,831.46,5143,46,121.63964738,118,0.001498919063649211,0.32591670751571655,-0.8260218410899764,-0.0053161642587694685,2223,0.9219815135002136,0.016456172,5.8723032254921765,0.1293431332236842,0.25
243712,830.96,5146,47,120.08148945,119,0.001498919063649211,32.22983169555664,-0.7708981409668922,-0.013644354338267524,2242,0.9341297149658203,0.08628596,55.878727304308036,0.1561986019736842,0.25
245760,838.7,5149,47,121.3164652,120,0.001498919063649211,0.9279420971870422,-0.8806169060500044,-0.00641563044107323,2261,0.9820586442947388,0.024098944,3.6048792200653175,0.10462068256578948,0.25
247808,846.79,5152,48,123.28769066999998,121,0.001498919063649211,0.3435351550579071,-0.8814789821442804,-0.008198478608392179,2280,0.9931187033653259,0.026575211,1.5691287799885398,0.11012027138157894,0.25
249856,847.13,5145,48,123.84448468999999,122,0.001498919063649211,0.6239180564880371,-0.9123604725065985,-0.0032955249388530654,2299,0.945926308631897,0.02574539,3.0220454082285104,0.10585423519736842,0.25
251904,862.9,5148,48,126.64833960000001,123,0.001498919063649211,0.6794326901435852,-0.9036295598274783,-0.006520981620078122,2318,0.9804570078849792,0.014925832,3.5106706089879336,0.10909231085526316,0.25
253952,862.9,5148,49,126.15061136000003,124,0.001498919063649211,0.5230885148048401,-0.8579851612448692,-0.006901615643935082,2337,0.986105740070343,0.00896542,1.7725332108767409,0.07139185855263158,0.25
256000,870.51,5150,49,127.09466717999997,125,0.001498919063649211,0.7121248245239258,-0.8150752712237207,-0.003929559807722016,2356,0.9542758464813232,0.007615467,2.506559477432778,0.030247738486842105,0.25
258048,863.66,5149,50,128.17667262999998,126,0.001498919063649211,1.1152065992355347,-0.7917313214979673,-0.006785659333936086,2375,0.9860468506813049,0.013986932,2.0902561627720533,0.17053865131578946,0.25
260096,863.7,5151,50,128.4335235,127,0.001498919063649211,1.075864315032959,-0.8171983674952858,-0.004398675810080022,2394,0.9672195911407471,0.020987548,10.53810476315649,0.16966488486842105,0.25
262144,872.75,5153,50,131.5847079,128,0.001498919063649211,16.957706451416016,-0.9020218947216084,-0.009073153165732756,2413,0.8394380211830139,0.023745123,51.83086292053524,0.08275082236842106,0.25
264192,883.29,5156,51,132.01585435,129,0.001498919063649211,9.408564567565918,-0.8579293520827043,-0.003083408038563855,2432,0.8538857102394104,0.02410737,39.66928404255917,0.09917249177631579,0.25
266240,882.59,5158,51,134.70674541999998,130,0.001498919063649211,1.0415682792663574,-0.9657733671759304,-0.011053678068013764,2451,0.9790114164352417,0.011215306,3.2643946103359522,0.05702611019736842,0.25
268288,890.51,5160,51,135.67576582,131,0.001498919063649211,40.90278244018555,-0.7806430196291522,-0.0041953078440488565,2470,0.8865175843238831,0.00844588,59.172040826395936,0.08861019736842106,0.25
